County,Rate
"Mackinac County, MI",4.2
"Menominee County, MI",5.4
"Ottawa County, MI",5.4
"Clinton County, MI",5.4
"Huron County, MI",5.5
"Leelanau County, MI",5.5
"Houghton County, MI",5.6
"Marquette County, MI",5.6
"Allegan County, MI",5.7
"Barry County, MI",5.8
"Dickinson County, MI",5.8
"Grand Traverse County, MI",5.9
"Iron County, MI",5.9
"Ionia County, MI",6
"Emmet County, MI",6
"Washtenaw County, MI",6
"Gratiot County, MI",6.1
"Benzie County, MI",6.1
"Osceola County, MI",6.1
"Missaukee County, MI",6.2
"Isabella County, MI",6.2
"Keweenaw County, MI",6.2
"Charlevoix County, MI",6.2
"Delta County, MI",6.3
"Midland County, MI",6.3
"Livingston County, MI",6.4
"Gogebic County, MI",6.4
"Alpena County, MI",6.4
"Schoolcraft County, MI",6.4
"Sanilac County, MI",6.5
"Eaton County, MI",6.5
"Luce County, MI",6.5
"Kent County, MI",6.6
"Shiawassee County, MI",6.6
"Van Buren County, MI",6.7
"Kalamazoo County, MI",6.7
"Lenawee County, MI",6.7
"Cheboygan County, MI",6.7
"Chippewa County, MI",6.7
"Hillsdale County, MI",6.8
"Newaygo County, MI",6.8
"Monroe County, MI",6.9
"Antrim County, MI",6.9
"Tuscola County, MI",6.9
"Branch County, MI",7
"Montcalm County, MI",7
"Mason County, MI",7.1
"Ingham County, MI",7.1
"Wexford County, MI",7.1
"Mecosta County, MI",7.2
"St. Joseph County, MI",7.3
"Cass County, MI",7.4
"Bay County, MI",7.5
"Alger County, MI",7.5
"Berrien County, MI",7.6
"Jackson County, MI",7.6
"Oakland County, MI",7.7
"Arenac County, MI",7.7
"Gladwin County, MI",7.7
"Otsego County, MI",7.7
"Iosco County, MI",7.8
"Presque Isle County, MI",7.8
"Lapeer County, MI",7.9
"Alcona County, MI",7.9
"Ogemaw County, MI",8.1
"Oceana County, MI",8.2
"Kalkaska County, MI",8.2
"St. Clair County, MI",8.2
"Manistee County, MI",8.3
"Ontonagon County, MI",8.4
"Crawford County, MI",8.5
"Calhoun County, MI",8.6
"Saginaw County, MI",8.6
"Oscoda County, MI",8.7
"Macomb County, MI",9.2
"Baraga County, MI",9.4
"Genesee County, MI",9.4
"Clare County, MI",9.5
"Roscommon County, MI",9.6
"Montmorency County, MI",10.1
"Muskegon County, MI",10.2
"Lake County, MI",10.2
"Wayne County, MI",12.5
